"ID","Name","Address","Setting","Type","Causative1","DateBegan","DateEnded","Active"
"34","Hawthorne Place Care Centre - 1st Fl Convalescent Unit","2045 Finch Ave W","Ltch","Respiratory","Covid-19","2024-01-09",NA,TRUE
"35","Kingsway - 2nd Fl (Memory Unit)","4251 Dundas St W","Ltch","Respiratory","Covid-19","2024-01-09","2024-01-17",FALSE
"36","Mccall Centre For Continuing Care - 3rd Fl","150 Sherway Dr","Hospital-Chronic Care","Respiratory","Influenza A (Not Subtyped)","2024-01-09",NA,TRUE
"37","Rcc Mackenzie Health - Finch Site - 4 East","2111 Finch Ave W","Hospital-Chronic Care","Respiratory","Influenza A (Not Subtyped)","2024-01-09",NA,TRUE
"38","Trilogy Long Term Care - 5th Fl","340 Mccowan Rd","Ltch","Respiratory","Respiratory Syncytial Virus","2024-01-09",NA,TRUE
"39","Carefree Lodge - 1st Fl","306 Finch Ave E","Ltch","Respiratory","Covid-19","2024-01-08",NA,TRUE
"40","Extendicare Guildwood - East - Spurs 2","60 Guildwood Pky","Ltch","Respiratory","Coronavirus*","2024-01-08",NA,TRUE
"41","Glen Rouge Community - 4th Fl","92 Island Rd","Ltch","Respiratory","Respiratory Syncytial Virus","2024-01-08",NA,TRUE
"42","Kennedy Lodge - 2 North & 2 South","1400 Kennedy Rd","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-08",NA,TRUE
"43","One Kenton Place - 3rd Fl","1-3 Kenton Dr","Ltch","Respiratory","Covid-19","2024-01-08","2024-01-11",FALSE
"44","Runnymede Healthcare Centre - 3w","625 Runnymede Rd","Hospital-Chronic Care","Respiratory","Covid-19","2024-01-08","2024-01-16",FALSE
"45","Yee Hong Centre For Geriatric Care - 2nd Fl","311 Mcnicoll Ave","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-08",NA,TRUE
"46","Westside - 4th Fl","1145 Albion Rd","Ltch","Respiratory","Covid-19","2024-01-07","2024-01-16",FALSE
"47","Downsview Long Term Care Centre - Unit 2e & 1 North","3595 Keele St","Ltch","Respiratory","Covid-19","2024-01-06",NA,TRUE
"48","Isabel And Arthur Meighen Manor - 3rd Fl","155 Millwood Rd","Ltch","Respiratory","Respiratory Syncytial Virus","2024-01-06","2024-01-11",FALSE
"49","Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - Lsse","2075 Bayview Ave","Ltch","Respiratory","Covid-19","2024-01-06",NA,TRUE
"50","Chartwell Scarlett Heights Retirement Residence","4005 Eglinton Ave W","Ltch","Respiratory","Covid-19","2024-01-05",NA,TRUE
"51","Humber Meadows Long Term Care Home - 4 North & 6 South","2109 Finch Ave W","Ltch","Respiratory","Covid-19","2024-01-05",NA,TRUE
"52","Shsc - Sunnybrook Veterans Centre - Lfsw","2075 Bayview Ave","Ltch","Enteric","Norovirus","2024-01-05","2024-01-17",FALSE
"53","St. Bernard's Residence - 3rd Fl","685 Finch Ave W","Retirement Home","Respiratory","Covid-19","2024-01-05",NA,TRUE
"54","Unity Health Toronto - St. Joseph's - 6g","30 The Queensway","Hospital-Acute Care","Respiratory","Covid-19","2024-01-05","2024-01-16",FALSE
"55","Villa Colombo Homes For The Aged","40 Playfair Ave","Ltch","Respiratory","Covid-19","2024-01-05","2024-01-13",FALSE
"56","Weston Gardens Retirement Residence - 3rd, 4th & 5th Fl","303 Queens Dr","Retirement Home","Respiratory","Covid-19","2024-01-05",NA,TRUE
"57","Cummer Lodge - 2s","205 Cummer Ave","Ltch","Respiratory","Covid-19","2024-01-04",NA,TRUE
"58","Fountainview Care Community - 2nd Fl Unit 2b","1800 O'connor Dr","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-04",NA,TRUE
"59","Harold & Grace Baker Centre - Unit C","1 Northwestern Ave","Ltch","Respiratory","Respiratory Syncytial Virus","2024-01-04",NA,TRUE
"60","Lakeside - 2nd Fl & 3rd Fl Robin House","150 Dunn Ave","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-04",NA,TRUE
"61","Runnymede Healthcare Centre - 4w","625 Runnymede Rd","Hospital-Chronic Care","Respiratory","Covid-19","2024-01-04","2024-01-16",FALSE
"62","The Jewish Home For The Aged - 6gs","3560 Bathurst St","Ltch","Respiratory","Covid-19","2024-01-04","2024-01-13",FALSE
"63","The Wexford - 2nd Fl","1860 Lawrence Ave E","Ltch","Respiratory","Covid-19","2024-01-04","2024-01-13",FALSE
"64","Villa Colombo Homes For The Aged","40 Playfair Ave","Ltch","Respiratory","Pending","2024-01-04",NA,TRUE
"65","Weston Gardens - Transitional Care Unit - 3rd Fl","303 Queens Dr","Ltch","Respiratory","Covid-19","2024-01-04","2024-01-11",FALSE
"66","Belmont House - 2 East","55 Belmont St","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-03","2024-01-10",FALSE
"67","Eatonville Care Centre","420 The East Mall","Ltch","Respiratory","Covid-19","2024-01-03",NA,TRUE
"68","Sage Care Retirement Home - 2nd Fl D Pod & 3rd Fl D Pod","147 Elder St","Retirement Home","Respiratory","Covid-19","2024-01-03","2024-01-16",FALSE
"69","Shepherd Lodge - 7th Fl South & 2 North","3760 Sheppard Ave East","Ltch","Respiratory","Covid-19","2024-01-03",NA,TRUE
"70","The O'neill Centre - 5th Fl","33 Christie St","Ltch","Respiratory","Covid-19","2024-01-03","2024-01-15",FALSE
"71","Weston Terrace Care Community - Unit 4b","2005 Lawrence Ave W","Ltch","Respiratory","Covid-19","2024-01-03","2024-01-09",FALSE
"72","Yee Hong Centre - Scarborough Mcnicoll - 2nd, 4th & 5th Fl","2311 Mcnicoll Ave","Ltch","Respiratory","Covid-19","2024-01-03",NA,TRUE
"73","Baycrest Hospital - H5w","3560 Bathurst St","Hospital-Chronic Care","Respiratory","Covid-19","2024-01-02","2024-01-10",FALSE
"74","Centre For Addiction And Mental Health - Prt7","1001 Queen St West","Hospital-Psychiatric","Respiratory","Covid-19","2024-01-02","2024-01-15",FALSE
"75","Extendicare Bayview - East Unit","550 Cummer Ave","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-02","2024-01-04",FALSE
"76","Humber Valley Terrace - 1st Fl","95 Humber College Blvd","Ltch","Respiratory","Covid-19","2024-01-02","2024-01-09",FALSE
"77","The Claremont - 3rd & 7th Fl","305 Balliol St","Retirement Home","Respiratory","Covid-19","2024-01-02",NA,TRUE
"78","The Jewish Home For The Aged - 2gs","3560 Bathurst St","Ltch","Respiratory","Covid-19","2024-01-02","2024-01-15",FALSE
"79","The Jewish Home For The Aged - 5ei","3560 Bathurst St","Ltch","Respiratory","Covid-19","2024-01-02","2024-01-10",FALSE
"80","The Village Of Humber Heights - Alderwood","2245 Lawrence Ave W","Ltch","Respiratory","Covid-19","2024-01-02","2024-01-15",FALSE
"81","Unity Health Toronto - Houses Of Providence - D3","3276 St Clair Ave E","Hospital-Chronic Care","Respiratory","Covid-19","2024-01-02","2024-01-13",FALSE
"82","Unity Health Toronto - Rcc Church - 4b","200 Church St","Hospital-Chronic Care","Respiratory","Covid-19","2024-01-02","2024-01-10",FALSE
"83","Unity Health Toronto - St. Michael's Hospital - 7ccn","30 Bond St","Hospital-Acute Care","Enteric","Clostridium Difficile","2024-01-02",NA,TRUE
"84","West Park  Healthcare Centre - 2ec","82 Buttonwood Ave","Hospital-Chronic Care","Respiratory","Covid-19","2024-01-02","2024-01-09",FALSE
